iron tawa/pan/nail | is | left
point | is | 25 cm
image distance | is in | eye
we | increase | distance
we | increase distance from | eye
we | increase | distance of object
we | distance of | object
Sun | does appear | reddish
Sun | does appear | reddish early
Sun | does appear | reddish early in morning
sky | does appear | dark
Science 2018-19 CHAPTER 12 Electricity E lectricity | has | important place
Science 198 2018-19 CHAPTER 12 Electricity E lectricity | has | place
Science 198 2018-19 CHAPTER 12 Electricity E lectricity | has | place in society
Science 2018-19 CHAPTER 12 Electricity E lectricity | has | important place in society
Science 198 2018-19 CHAPTER 12 Electricity E lectricity | has | place in modern society
Science 198 2018-19 CHAPTER 12 Electricity E lectricity | has | important place in society
Science 2018-19 CHAPTER 12 Electricity E lectricity | has | place in society
Science 198 2018-19 CHAPTER 12 Electricity E lectricity | has | important place
Science 2018-19 CHAPTER 12 Electricity E lectricity | has | important place in modern society
Science 198 2018-19 CHAPTER 12 Electricity E lectricity | has | important place in modern society
Science 2018-19 CHAPTER 12 Electricity E lectricity | has | place
Science 2018-19 CHAPTER 12 Electricity E lectricity | has | place in modern society
important place | is in | modern society
It | is controllable form of | energy for variety of uses in homes
It | is controllable and convenient form of | energy for variety of uses in homes
It | is form of | energy for variety of uses in homes
